Season,Team,Returning_Minutes_Top8_Pct,Star_Weighted_Continuity,New_Players_Top8,Returning_Minutes_FullRoster_Pct,Total_Prev_Minutes_Top8,Total_Prev_Minutes_FullRoster
2021-22,San Antonio Spurs,52.49,52.65,20,32.42,194.7,581.7
2021-22,Toronto Raptors,67.8,68.15,18,32.28,236.3,700.7
2021-22,Utah Jazz,93.23,93.55,17,44.09,225.9,539.1
2021-22,Washington Wizards,74.08,73.0,23,33.96,201.4,638.6
2022-23,Atlanta Hawks,66.01,67.61,15,25.96,217.1,687.9
2022-23,Boston Celtics,87.56,88.49,12,37.77,214.6,639.6
2022-23,Brooklyn Nets,54.15,54.1,21,34.01,231.6,736.5
2022-23,Charlotte Hornets,75.7,75.0,13,42.33,232.5,582.5
2022-23,Chicago Bulls,74.59,75.36,13,43.38,208.2,638.3
2022-23,Cleveland Cavaliers,87.33,87.41,11,39.95,243.0,698.2
2022-23,Dallas Mavericks,73.79,73.5,17,37.79,234.3,661.3
2022-23,Denver Nuggets,45.27,48.56,15,29.09,186.0,621.9
2022-23,Detroit Pistons,41.2,40.68,19,31.37,168.2,784.6
2022-23,Golden State Warriors,81.07,81.51,12,41.75,202.3,578.4
2022-23,Houston Rockets,51.4,50.92,14,37.73,161.1,623.3
2022-23,Indiana Pacers,55.64,55.41,16,32.62,226.1,805.9
2022-23,Los Angeles Clippers,70.43,70.86,16,44.61,189.4,669.1
2022-23,Los Angeles Lakers,59.49,61.48,23,19.94,179.2,733.1
2022-23,Memphis Grizzlies,78.05,78.67,13,42.15,201.4,590.8
2022-23,Miami Heat,86.9,87.28,13,44.02,213.0,667.0
2022-23,Milwaukee Bucks,90.03,90.72,15,44.84,199.6,738.4
2022-23,Minnesota Timberwolves,74.16,74.49,14,34.72,196.6,564.2
2022-23,New Orleans Pelicans,85.13,85.22,10,43.47,225.3,664.6
2022-23,New York Knicks,74.12,74.06,12,40.31,209.4,623.9
2022-23,Oklahoma City Thunder,71.91,72.4,13,34.1,197.2,848.9
2022-23,Orlando Magic,89.28,89.51,13,41.04,199.6,709.0
2022-23,Philadelphia 76ers,76.18,77.43,15,38.13,223.3,638.1
2022-23,Phoenix Suns,73.44,74.65,15,38.48,215.0,633.1
2022-23,Portland Trail Blazers,50.41,50.71,20,31.38,245.0,845.4
2022-23,Sacramento Kings,72.59,72.31,14,32.78,230.2,732.2
2022-23,San Antonio Spurs,61.97,60.6,18,32.82,208.5,662.5
2022-23,Toronto Raptors,94.26,94.62,13,44.05,235.1,667.6
2022-23,Utah Jazz,33.83,33.22,20,15.29,220.5,627.8
2022-23,Washington Wizards,69.08,68.91,18,30.85,205.4,726.0
2023-24,Atlanta Hawks,86.3,86.8,12,45.44,218.9,599.0
2023-24,Boston Celtics,63.75,65.05,14,30.11,231.7,592.2
2023-24,Brooklyn Nets,71.62,70.65,15,32.38,257.2,753.5
2023-24,Charlotte Hornets,52.67,52.53,22,38.73,232.4,664.4
2023-24,Chicago Bulls,84.5,85.12,12,43.99,195.5,562.6
2023-24,Cleveland Cavaliers,82.59,83.65,12,38.94,230.3,588.9
2023-24,Dallas Mavericks,56.63,57.84,18,30.79,218.8,668.8
2023-24,Denver Nuggets,72.55,74.48,12,39.11,216.4,586.0
2023-24,Detroit Pistons,68.79,68.71,26,45.11,158.9,689.7
2023-24,Golden State Warriors,79.42,80.29,12,35.04,215.7,598.2
2023-24,Houston Rockets,39.34,39.69,14,24.88,142.1,574.4
2023-24,Indiana Pacers,82.93,83.94,16,45.78,165.8,625.8
2023-24,Los Angeles Clippers,100.0,100.0,13,43.3,208.1,671.6
2023-24,Los Angeles Lakers,66.55,68.09,16,26.9,230.2,699.2
2023-24,Memphis Grizzlies,74.84,75.6,27,46.38,203.9,643.2
2023-24,Miami Heat,88.21,89.05,14,41.45,223.0,655.7
2023-24,Milwaukee Bucks,61.54,62.25,16,30.78,214.0,639.4
2023-24,Minnesota Timberwolves,86.37,86.33,12,41.67,241.4,624.4
2023-24,New Orleans Pelicans,93.18,93.41,13,47.59,224.5,595.7
2023-24,New York Knicks,92.92,93.4,19,48.94,221.8,586.2
2023-24,Oklahoma City Thunder,100.0,100.0,14,48.79,202.7,614.5
2023-24,Orlando Magic,91.47,91.67,11,47.23,199.3,648.3
2023-24,Philadelphia 76ers,64.23,64.6,23,31.24,217.8,624.2
2023-24,Phoenix Suns,38.63,39.27,19,17.79,225.2,663.8
2023-24,Portland Trail Blazers,52.66,50.81,18,23.69,246.7,783.0
2023-24,Sacramento Kings,95.03,95.32,13,44.18,209.3,546.6
2023-24,San Antonio Spurs,67.85,67.2,15,42.45,197.2,715.2
2023-24,Toronto Raptors,78.75,78.48,24,42.08,237.6,615.7
2023-24,Utah Jazz,65.21,65.64,16,39.32,182.8,679.1
2023-24,Washington Wizards,26.04,25.65,22,24.62,172.8,652.2
2024-25,Atlanta Hawks,65.26,65.7,16,38.79,232.0,629.5
2024-25,Boston Celtics,100.0,100.0,10,52.49,235.3,582.8
2024-25,Brooklyn Nets,46.96,47.29,20,39.19,205.3,657.0
2024-25,Charlotte Hornets,46.3,46.52,24,38.14,194.4,799.1
2024-25,Chicago Bulls,51.77,50.87,18,36.9,226.4,603.5
2024-25,Cleveland Cavaliers,100.0,100.0,13,53.85,229.8,593.7
2024-25,Dallas Mavericks,88.61,89.69,17,37.43,206.3,640.9
2024-25,Denver Nuggets,79.09,80.81,12,39.0,177.4,531.0
2024-25,Detroit Pistons,67.47,67.83,17,23.37,174.9,841.6
2024-25,Golden State Warriors,61.9,62.81,18,38.8,192.4,561.8
2024-25,Houston Rockets,97.51,97.62,11,52.6,200.8,561.2
2024-25,Indiana Pacers,76.97,78.0,16,41.81,186.3,611.6
2024-25,Los Angeles Clippers,58.75,59.83,19,34.0,206.3,624.2
2024-25,Los Angeles Lakers,83.81,85.0,20,43.51,193.9,592.1
2024-25,Memphis Grizzlies,87.39,87.46,14,36.73,231.6,959.2
2024-25,Miami Heat,77.77,78.73,15,44.75,217.7,666.2
2024-25,Milwaukee Bucks,75.6,77.6,17,37.75,207.0,573.7
2024-25,Minnesota Timberwolves,65.35,66.4,15,34.3,191.9,551.0
2024-25,New Orleans Pelicans,70.52,71.08,20,34.59,222.9,582.5
2024-25,New York Knicks,39.51,40.37,18,28.11,236.9,673.9
2024-25,Oklahoma City Thunder,86.56,87.21,12,38.93,186.8,575.2
2024-25,Orlando Magic,100.0,100.0,9,46.96,191.4,557.1
2024-25,Philadelphia 76ers,46.74,48.36,27,22.86,212.9,712.1
2024-25,Phoenix Suns,93.56,94.0,13,36.15,217.3,606.6
2024-25,Portland Trail Blazers,68.65,68.59,14,51.39,166.8,699.8
2024-25,Sacramento Kings,86.26,87.22,18,38.75,211.1,552.5
2024-25,San Antonio Spurs,87.74,88.15,15,45.09,149.3,604.4
2024-25,Toronto Raptors,68.21,68.17,18,31.76,226.5,815.6
2024-25,Utah Jazz,57.42,58.62,16,35.63,193.3,669.3
2024-25,Washington Wizards,25.99,25.46,22,36.66,147.0,649.7
2025-26,Atlanta Hawks,66.08,66.88,11,33.41,226.4,711.1
2025-26,Boston Celtics,55.72,57.29,11,30.92,238.7,585.4
2025-26,Brooklyn Nets,34.94,34.93,13,25.21,218.1,764.0
2025-26,Charlotte Hornets,52.95,52.91,14,25.02,184.9,813.4
2025-26,Chicago Bulls,58.49,58.33,13,41.86,210.8,640.9
2025-26,Cleveland Cavaliers,79.09,79.94,8,39.08,209.0,618.0
2025-26,Dallas Mavericks,53.61,53.59,13,38.56,222.7,736.0
2025-26,Denver Nuggets,52.61,50.58,10,32.18,233.4,567.2
2025-26,Detroit Pistons,70.33,71.19,11,35.32,192.1,621.4
2025-26,Golden State Warriors,69.43,70.53,11,41.71,196.6,649.8
2025-26,Houston Rockets,48.92,49.86,12,26.4,216.7,587.4
2025-26,Indiana Pacers,77.68,77.94,12,47.61,203.0,588.7
2025-26,Los Angeles Clippers,64.92,66.31,9,26.3,218.1,624.6
2025-26,Los Angeles Lakers,58.89,57.69,11,27.9,232.8,693.1
2025-26,Memphis Grizzlies,50.39,49.68,9,23.84,191.1,605.6
2025-26,Miami Heat,59.16,59.67,9,30.71,209.6,673.1
2025-26,Milwaukee Bucks,35.2,36.68,12,28.21,210.8,646.9
2025-26,Minnesota Timberwolves,89.33,89.91,9,45.05,237.1,550.9
2025-26,New Orleans Pelicans,41.82,42.29,13,20.58,204.7,818.2
2025-26,New York Knicks,93.67,94.0,8,43.15,238.7,604.6
2025-26,Oklahoma City Thunder,100.0,100.0,10,53.75,208.4,578.4
2025-26,Orlando Magic,77.35,78.03,8,32.1,195.6,583.2
2025-26,Philadelphia 76ers,62.37,63.16,12,29.22,215.0,886.5
2025-26,Phoenix Suns,42.0,41.97,14,25.93,204.5,612.3
2025-26,Portland Trail Blazers,51.52,52.09,13,39.41,200.5,608.5
2025-26,Sacramento Kings,68.95,69.37,12,34.66,236.7,646.8
2025-26,San Antonio Spurs,65.14,65.56,11,42.07,192.5,612.6
2025-26,Toronto Raptors,48.57,49.49,14,35.43,185.7,712.6
2025-26,Utah Jazz,54.2,54.53,13,34.58,185.8,689.2
2025-26,Washington Wizards,28.44,28.52,15,33.29,129.4,709.3
