PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FTFreq%","TOVFreq%","SFFreq%","And OneFreq%","ScoreFreq%",Percentile
Andrew Nembhard,IND,67,3.3,34.5,0.83,2.8,1.2,2.7,45.9,47.5,3.6,15.3,3.6,0.5,40.5,45.9
Bennedict Mathurin,IND,58,3.3,22.6,0.86,2.8,1.1,2.6,40.9,46,10,14.2,10,2.6,38.9,51.8
Pascal Siakam,IND,41,2.2,11.8,0.94,2.1,0.9,2,46.3,48.8,5.4,6.5,5.4,1.1,45.7,71.3
Bruce Brown,IND,32,2.3,20.2,0.91,2.1,0.8,1.8,40.7,42.4,14.7,10.7,14.7,4,42.7,62.9
Aaron Nesmith,IND,71,0.6,5.6,0.83,0.5,0.2,0.5,38.9,41.7,9.5,7.1,9.5,2.4,40.5,45.9
Jarace Walker,IND,33,0.7,17.6,1,0.7,0.3,0.5,50,63.9,0,21.7,0,0,39.1,86.6
Buddy Hield,IND,51,0.7,6.4,0.51,0.4,0.1,0.5,25.9,33.3,2.7,24.3,2.7,0,21.6,7.2
Obi Toppin,IND,81,0.2,2.3,0.88,0.2,0.1,0.2,33.3,46.7,0,6.3,0,0,31.3,57.8
Ben Sheppard,IND,57,0.3,5.9,0.33,0.1,0,0.2,15.4,15.4,6.7,6.7,0,0,20,1
James Harden,LAC,72,5.3,33.5,0.95,5,1.6,3.8,42,51.1,12.6,18.9,11.8,3.4,39.1,75.9
Paul George,LAC,74,3.8,18.6,1.09,4.1,1.5,2.9,50.5,59.9,10.4,14.3,9.3,2.9,46.6,94.8
Kawhi Leonard,LAC,69,3.3,16.4,1,3.3,1.3,2.7,49.2,54.6,7.9,14,7,1.7,45.4,87.6
Norman Powell,LAC,76,1.5,12.5,0.81,1.2,0.5,1.3,36.1,38.7,9.7,7.1,8.8,2.7,38.1,40.1
Bones Hyland,LAC,37,2.4,29.2,0.92,2.2,0.9,1.9,45.7,55,3.4,19.1,2.2,1.1,38.2,67.8
Russell Westbrook,LAC,68,1.5,11.5,0.63,0.9,0.4,1,37.9,39.4,7.9,27.7,7.9,1,31.7,14.7
Amir Coffey,LAC,70,0.4,7.2,0.9,0.4,0.2,0.4,42.9,44.6,6.7,6.7,6.7,6.7,40,61.2
Brandon Boston,LAC,32,0.9,15,0.8,0.8,0.3,0.8,33.3,35.4,13.3,6.7,10,0,40,38.2
Terance Mann,LAC,75,0.2,2.9,1.06,0.2,0.1,0.2,42.9,53.6,11.8,5.9,11.8,0,47.1,92.2
Austin Reaves,LAL,81,5.2,34.8,1.05,5.4,2,3.8,51.8,59,12.2,18.4,10.5,3.8,46.1,90.2
D'Angelo Russell,LAL,75,6.1,34.9,0.92,5.6,2.1,4.6,45.5,50.9,9.9,16,8.1,1.3,42.6,67.4
LeBron James,LAL,70,4.4,18.7,0.91,4,1.5,3.1,48.1,53,12.3,19.5,11.4,1.9,43.5,63.9
Spencer Dinwiddie,LAL,28,1.7,25.3,0.83,1.4,0.4,1.2,30.3,33.3,18.8,14.6,18.8,2.1,37.5,45.9
Anthony Davis,LAL,75,0.5,2.4,0.87,0.5,0.1,0.3,42.3,46.2,25.6,10.3,20.5,2.6,43.6,56.7
Max Christie,LAL,66,0.8,17.6,0.65,0.5,0.2,0.7,34.9,34.9,5.8,11.5,5.8,0,32.7,16.9
Taurean Prince,LAL,77,0.4,5,0.91,0.4,0.2,0.3,50,58.3,6.1,24.2,6.1,3,39.4,63.9
Cam Reddish,LAL,47,0.5,8.4,0.92,0.5,0.1,0.3,46.7,46.7,20.8,16.7,16.7,0,50,66.4
Gabe Vincent,LAL,11,1.2,23.6,0.61,0.7,0.3,1,27.3,31.8,7.7,7.7,7.7,0,30.8,12.7
Rui Hachimura,LAL,67,0.2,1.8,0.5,0.1,0,0.2,25,25,7.1,7.1,7.1,0,28.6,5.9
Desmond Bane,MEM,42,6.5,29,0.99,6.5,2.5,5.6,45.5,53.2,5.1,11.3,4.7,1.8,42.2,83.1
GG Jackson,MEM,48,2.4,16.8,0.85,2.1,0.7,1.9,37,45.1,10.3,12,10.3,0.9,38.5,48.7
Ja Morant,MEM,10,9.9,44,0.97,9.6,3.7,7.7,48.1,51.3,13.1,13.1,11.1,4,46.5,78.8
Jaren Jackson Jr.,MEM,66,1.4,6.1,0.91,1.3,0.5,1,48.5,53,10.9,19.6,7.6,2.2,43.5,64.8
Scotty Pippen Jr.,MEM,21,4,29.6,0.87,3.5,1.2,2.6,45.5,48.2,14.3,21.4,13.1,1.2,41.7,55
Marcus Smart,MEM,20,4.5,27.8,0.77,3.5,1.5,3.2,46,49.2,5.6,25.6,3.3,1.1,36.7,30.7
Vince Williams Jr.,MEM,52,1.6,15.4,0.78,1.2,0.4,0.9,44.7,52.1,12.3,30.9,9.9,1.2,35.8,32.4
Derrick Rose,MEM,24,2.8,33,0.87,2.5,1,2.1,50,53,7.4,20.6,7.4,1.5,42.6,54.4
Jake LaRavia,MEM,35,1.5,13.6,0.69,1.1,0.3,1.1,27,32.4,13,18.5,11.1,0,31.5,19.9
Jacob Gilyard,MEM,37,1.2,25.4,0.82,1,0.4,0.8,46.7,60,0,31.8,0,0,31.8,41.3
Ziaire Williams,MEM,51,1.4,14.8,0.5,0.7,0.3,1,27.5,28.4,4.3,22.9,1.4,0,24.3,5.9
Jordan Goodwin,MEM,17,3.9,28.6,0.47,1.8,0.8,3.2,25.9,27.8,1.5,16.7,1.5,0,22.7,4.9
Luke Kennard,MEM,39,1.1,10.9,0.57,0.6,0.2,0.6,37.5,45.8,2.4,40.5,2.4,0,23.8,9.2
Santi Aldama,MEM,61,0.4,4,0.85,0.4,0.1,0.3,42.9,47.6,11.1,18.5,11.1,7.4,37,50.2
Jaylen Nowell,MEM,9,2,30,1.22,2.4,1.2,1.8,68.8,68.8,0,11.1,0,0,61.1,98
David Roddy,MEM,48,0.9,9.6,0.44,0.4,0.2,0.7,27.3,28.8,4.4,22.2,4.4,0,22.2,3.6
Lamar Stevens,MEM,19,1,8.3,0.95,0.9,0.4,0.9,44.4,44.4,10.5,5.3,10.5,10.5,42.1,74.4
Zavier Simpson,MEM,7,3.9,40.9,0.67,2.6,1,2.7,36.8,39.5,7.4,22.2,7.4,0,33.3,17.4
DeJon Jarreau,MEM,9,2.3,32.8,0.62,1.4,0.6,1.8,31.3,31.3,14.3,9.5,9.5,0,33.3,13.7
John Konchar,MEM,55,0.4,8,0.1,0,0,0.2,11.1,11.1,0,57.1,0,0,4.8,0
Tyler Herro,MIA,43,6.3,31,0.96,6,2.4,5.3,45,50.4,6.7,10,6.3,1.5,43,76.9
Jimmy Butler III,MIA,60,3.8,20.7,0.84,3.1,0.9,2.6,36.6,37.3,20.4,16,17.8,4.4,40.9,47.2
Terry Rozier,MIA,31,5.1,30.4,0.92,4.6,1.9,4.4,43.4,47.8,5.1,9.6,4.5,1.3,41.4,66.8
Duncan Robinson,MIA,68,2,17.2,0.87,1.8,0.6,1.5,42.4,52.5,7.2,23,5.8,1.4,36,55.7
